# 4569 81
Language Region Globe Abbreviation Var1 Var2 Var3 Meaning Word
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 DUST ǂqhó'li
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 WIND ǂqhùe
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 YEAR kúli
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 heaven kùu_ǂèe
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 SKY kùu_ǂèe
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 sky_god kùu_ǂèe
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 SALT qá'na
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 alluvium baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 cheap_thing baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 clay baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 debris baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 difficult_situation baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 EARTH/SOIL baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 filth baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 ground baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 homeland baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 mud baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 muddy_place baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 substance_of_which_something_is_made baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 swamp baltë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 SEA/OCEAN det
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 SUN diell
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 DAY/DAYTIME ditë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 sunlight ditë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 air erë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 era erë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 smell erë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 WIND erë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 SALT gjellëz
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 flavor gjillesë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 SALT gjillesë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 taste gjillesë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 LAKE gjol
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 mire gjol
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 pond gjol
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 calculus gur
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 deep_vexation gur
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 gem gur
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 hard_object_used_in_a_game:_(chess)_piece,_domino,_(billiard)_ball gur
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 metal_weight_used_in_a_balance gur
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 quantity_of_olives_fed_to_an_oil_press_at_one_time gur
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 quantity_of_water_needed_to_turn_a_pair_of_millstones gur
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 STONE/ROCK gur
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 lunar_month hënë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 Monday hënë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 MOON hënë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 ASH(ES) hi
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 corpse hi
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 dust_of_corpses hi
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 memory_of_the_dead hi
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 mold hi
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 ASH(ES) jezull
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 cloud_of_dust jezull
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 sweltering_heat jezull
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 charm kripë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 flavor kripë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 SALT kripë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 tasty_bit kripë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 LAKE liqen
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 northeastern_ethnographic_region_of_Albania_bordering_Yugoslavia lumë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 RIVER lumë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 forest mal
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 MOUNTAIN mal
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 mountainous_region mal
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 pile mal
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 small_mountain_district_comprising_a_distinct_ethnic_unit mal
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 CLOUD(S) mjegull
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 fog mjegull
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 haze mjegull
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 mold mjegull
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 NIGHT natë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 boulder peshë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 heavy_stone_(used_for_throwing) peshë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 importance peshë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 influence peshë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 load peshë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 STONE/ROCK peshë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 weight peshë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 blizzard pjalm
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 DUST pjalm
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 pollen pjalm
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 powder pjalm
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 heaven qiell
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 SKY qiell
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 CLOUD(S) re
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 facial_expression re
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 heavy_curse re
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 lightning re
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 permission re
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 re_(musical_note) re
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 terrible_threat re
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 SAND rërë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 sandy_area rërë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 storm rribë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 torrent rribë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 waterfall rribë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 WIND rribë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 cluster tokë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 country tokë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 EARTH/SOIL tokë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 field tokë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 ground tokë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 homeland tokë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 signal_bell/gong tokë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 DUST tym
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 household tym
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 mist tym
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 SMOKE tym
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 tax_imposed_on_each_household_under_the_Ottoman_occupation tym
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 bodily_fluid ujë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 dilutant ujë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 liquid_used_in_tempering_metal ujë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 WATER ujë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 watery_solution ujë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 watery_substance ujë
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 YEAR vit
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 asterisk yll
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 guiding_light yll
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 luck yll
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 meteor yll
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 mole yll
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 reputation yll
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 STAR yll
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 wart yll
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 FIRE zjarm
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 clan zjarr
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 family zjarr
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 fever zjarr
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 FIRE zjarr
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 flame zjarr
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 gunfire zjarr
Indo-Hittite Indo-Hittite Albanian Albanian aln,_als 41 20 passion zjarr
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 cold achunax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 WIND achunax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 SUN aĝadax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 sunlight aĝadax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 STONE/ROCK aĝix
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 SALT alaĝux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 SEA/OCEAN alaĝux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 WATER alaĝux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 NIGHT amax
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 bank amtix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 cliff amtix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 hill amtix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 MOUNTAIN amtix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 slope amtix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 DAY/DAYTIME angalix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 light angalix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 sunlight angalix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 world angalix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 cat's_cradle_figure chiĝanax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 RIVER chiĝanax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 stream chiĝanax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 dry_mud chiqix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 EARTH/SOIL chiqix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 ground chiqix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 mud chugux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 SAND chugux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 debris chuukun
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 DUST chuukun
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 evening dayax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 NIGHT dayax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 DUST duux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 YEAR guudax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 cat's_cradle_figure hanix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 LAKE hanix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 brushwood hax̂sikaayun
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 DUST hax̂sikaayun
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 DUST hax̂sxis
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 DUST hux̂sx̂in
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 DUST huxsx̂ix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 mist huyux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 SMOKE huyux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 smoke_on_the_sea huyux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 mist hwax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 SMOKE hwax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 smoke_on_a_stormy_sea hwax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 DUST iigalaax
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 air inix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 ceiling inix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 heaven inix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 SKY inix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 CLOUD(S) inkamaaĝux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 air inkax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 CLOUD(S) inkax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 heaven inkax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 SKY inkax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 SEA/OCEAN inyudax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 storm kachix
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 WIND kachix
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 debris kagignan
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 DUST kagignan
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 MOUNTAIN kiiĝuusix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 Mt._Vsevidov kiiĝuusix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 volcano kiiĝuusix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 heaven kuyuudax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 name_of_village_on_Unalaska kuyuudax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 SKY kuyuudax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 air miidux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 breeze miidux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 WIND miidux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 STONE/ROCK nux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 DUST piilix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 DUST qaagun
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 DUST qaagux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 EARTH/SOIL qaagux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 winter qanax
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 YEAR qanax
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 FIRE qignax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 hell qignax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 light qignax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 match qignax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 FIRE qudax
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 ballast_(in_baidarka) quganax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 STONE/ROCK quganax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 CLOUD(S) qusamaaĝux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 STAR sdax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 starfish sdax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 STAR siyĝaaĝix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 bad_weather slax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 compass_point(s) slax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 direction slax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 weather slax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 WIND slax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 habitat slux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 homeland slux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 inside slux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 summer slux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 world slux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 YEAR slux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 SALT sulix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 salted_fish_or_meat sulix̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 Christmas_star svisdax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 alcohol taangax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 beverage taangax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 bodily_fluid taangax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 juice taangax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 WATER taangax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 SALT taĝayux̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 country tanax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 EARTH/SOIL tanax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 ground tanax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 habitat tanax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 homeland tanax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 island tanax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 space tanax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 month tugidax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 MOON tugidax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 phases_of_the_moon tugidax̂
Eskimo-Aleut Eskimo-Aleut Aleut Aleut ale 54 -166 ASH(ES) utxin
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 WIND bapoka
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 EARTH/SOIL barak
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 ground barak
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 forest duba
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 MOUNTAIN duba
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 WIND e'bapok
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 SEA/OCEAN e'pog
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 SEA/OCEAN e'pogtone'
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 CLOUD(S) esihui'
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 SMOKE esihui'
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 summer huabayok
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 YEAR huabayok
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 EARTH/SOIL huadari
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 ground huadari
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 world huadari
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 RIVER huahue
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 24hr_period huakerekda
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 DAY/DAYTIME huame'noe
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 DUST huaog'
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 liquid hue'ey
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 WATER hue'ey
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 STONE/ROCK huid
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 SAND kuhuad
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 SKY kurud
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 LAKE mayako
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 pond mayako
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 swamp mayako
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 well mayako
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 SUN niokpo
Equatorial Macro-Arawakan Harakmbet Amarakaeri amr -12.5 -70.5 ASH(ES) parokupo
